车辆ID,左车道速度,右车道速度,总平均速度
car2251,19.71,,19.71
car22511,12.78,,12.78
car22512,17.32,,17.32
car22521,8.55,,8.55
car22526,23.05,,23.05
car22529,11.36,,11.36
car2253,19.25,,19.25
car22534,10.52,,10.52
car22536,14.79,,14.79
car22553,15.86,,15.86
car22555,20.21,,20.21
car22556,18.25,,18.25
car22562,21.77,,21.77
car22563,10.21,,10.21
car22568,16.14,,16.14
car22577,15.31,,15.31
car22578,19.33,,19.33
car2258,17.6,,17.6
car22592,18.28,,18.28
car22597,19.27,,19.27
car2260,28.2,,28.2
car22601,16.78,,16.78
car22608,20.75,,20.75
car22610,17.5,,17.5
car22622,20.07,,20.07
car22638,24.24,,24.24
car2264,9.7,,9.7
car22649,6.27,,6.27
car2266,20.24,,20.24
car22660,18.17,,18.17
car22664,23.86,,23.86
car22666,15.17,,15.17
car22675,23.01,,23.01
car22676,15.73,,15.73
car22680,9.26,,9.26
car22689,16.63,,16.63
car2269,14.94,,14.94
car22693,14.44,,14.44
car22704,13.74,,13.74
car22710,36.46,,36.46
car22712,22.62,,22.62
car22713,22.78,,22.78
car2272,10.6,,10.6
car22723,10.64,,10.64
car22727,14.1,,14.1
car22732,17.97,,17.97
car22750,17.08,,17.08
car22751,17.06,,17.06
car22762,17.66,,17.66
car22771,11.56,,11.56
car22778,18.33,,18.33
car2278,25.84,,25.84
car22785,17.79,,17.79
car22787,27.47,,27.47
car22790,20.02,,20.02
car22794,11.06,,11.06
car22796,27.83,,27.83
car22803,23.17,,23.17
car22804,33.64,,33.64
car2281,9.5,,9.5
car22814,12.47,,12.47
car22821,19.07,,19.07
car22828,20.43,,20.43
car2284,23.08,,23.08
car2285,26.89,,26.89
car22876,17.05,,17.05
car22883,17.69,,17.69
car22891,7.8,,7.8
car22895,5.0,,5.0
car22899,15.07,,15.07
car2292,27.72,,27.72
car22924,18.69,,18.69
car22939,13.79,,13.79
car22942,12.32,,12.32
car22951,14.82,,14.82
car22961,16.2,,16.2
car22964,15.99,,15.99
car22972,9.16,,9.16
car22974,13.36,,13.36
car2298,19.86,,19.86
car22980,16.65,,16.65
car22990,17.58,,17.58
car22996,20.66,,20.66
car23002,18.94,,18.94
car23004,17.04,,17.04
car23012,7.4,,7.4
car23017,20.21,,20.21
car23024,15.57,,15.57
car23025,17.06,,17.06
car23031,17.34,,17.34
car23035,18.63,,18.63
car23046,13.59,,13.59
car23056,17.71,,17.71
car23064,16.38,,16.38
car23066,12.59,,12.59
car2307,22.34,,22.34
car23077,18.46,,18.46
car23086,11.6,,11.6
car23090,16.95,,16.95
car23091,13.46,,13.46
car2310,26.24,,26.24
car23101,10.1,,10.1
car23109,20.89,,20.89
car23110,16.07,,16.07
car2312,23.77,,23.77
car23122,21.13,,21.13
car23133,18.3,,18.3
car23136,19.64,,19.64
car23140,20.92,,20.92
car23147,19.97,,19.97
car23149,14.42,,14.42
car23157,7.52,,7.52
car23159,10.06,,10.06
car2316,22.6,,22.6
car23160,16.55,,16.55
car23169,17.33,,17.33
car23177,9.1,,9.1
car23178,10.63,,10.63
car23179,10.02,,10.02
car23187,21.32,,21.32
car23188,20.7,,20.7
car23198,17.35,,17.35
car2320,23.84,,23.84
car23211,17.98,,17.98
car23214,11.78,,11.78
car23221,13.54,,13.54
car23241,14.31,,14.31
car23253,14.7,,14.7
car23260,11.5,,11.5
car23278,18.62,,18.62
car23282,17.1,,17.1
car23292,12.36,,12.36
car23300,21.79,,21.79
car2331,23.07,,23.07
car23321,21.77,,21.77
car23322,18.17,,18.17
car23324,15.3,,15.3
car23325,11.77,,11.77
car23339,19.9,,19.9
car2334,17.31,,17.31
car23341,18.72,,18.72
car23342,19.8,,19.8
car23344,19.4,,19.4
car23347,11.33,,11.33
car2335,32.09,,32.09
car23358,25.22,,25.22
car23374,25.98,,25.98
car2338,21.79,,21.79
car23382,18.26,,18.26
car234,17.32,,17.32
car23401,23.99,,23.99
car23410,24.1,,24.1
car23411,22.52,,22.52
car23412,22.5,,22.5
car23417,22.78,,22.78
car23419,17.81,,17.81
car23420,22.6,,22.6
car23421,19.3,,19.3
car23427,21.54,,21.54
car23431,25.55,,25.55
car2344,26.59,,26.59
car23443,17.28,,17.28
car23450,25.33,,25.33
car23464,25.4,,25.4
car23469,18.77,,18.77
car23474,26.06,,26.06
car23480,23.29,,23.29
car23486,17.1,,17.1
car23490,29.4,,29.4
car23492,23.99,,23.99
car23495,27.36,,27.36
car23515,24.92,,24.92
car23518,33.16,,33.16
car2352,24.0,,24.0
car23521,24.12,,24.12
car23525,25.72,,25.72
car23528,30.11,,30.11
car23531,27.08,,27.08
car23538,28.35,,28.35
car23539,27.31,,27.31
car23543,28.65,,28.65
car23553,22.72,,22.72
car2356,21.55,,21.55
car23566,24.11,,24.11
car23567,31.63,,31.63
car23572,24.56,,24.56
car2358,15.19,,15.19
car23580,25.66,,25.66
car23583,22.78,,22.78
car23599,25.4,,25.4
car2360,15.03,,15.03
car2362,30.56,,30.56
car23622,26.64,,26.64
car23627,26.45,,26.45
car23631,26.15,,26.15
car23637,28.92,,28.92
car23650,29.71,,29.71
car23652,32.14,,32.14
car23667,27.08,,27.08
car23676,22.59,,22.59
car23692,30.49,,30.49
car23694,30.54,,30.54
car23706,29.59,,29.59
car23707,29.01,,29.01
car23726,31.08,,31.08
car23727,31.0,,31.0
car23728,29.66,,29.66
car2373,26.34,,26.34
car23730,29.83,,29.83
car23739,21.62,,21.62
car2374,25.37,,25.37
car23740,30.78,,30.78
car23741,30.16,,30.16
car23743,29.88,,29.88
car23748,30.97,,30.97
car23749,33.6,,33.6
car23750,37.89,,37.89
car23753,33.17,,33.17
car23758,30.7,,30.7
car2376,22.21,,22.21
car23777,31.7,,31.7
car23779,23.7,,23.7
car23782,34.98,,34.98
car23791,35.33,,35.33
car23793,32.71,,32.71
car23802,35.94,,35.94
car23807,37.76,,37.76
car23810,34.0,,34.0
car23819,36.01,,36.01
car23827,47.54,,47.54
car23834,37.93,,37.93
car23840,37.5,,37.5
car23851,40.61,,40.61
car23853,35.12,,35.12
car23859,35.55,,35.55
car2386,24.48,,24.48
car23870,35.05,,35.05
car23871,28.55,,28.55
car23873,30.74,,30.74
car23877,38.56,,38.56
car23884,32.61,,32.61
car239,15.61,,15.61
car23900,46.7,,46.7
car23905,31.86,,31.86
car23914,29.9,,29.9
car23918,36.91,,36.91
car2392,15.85,,15.85
car23925,37.49,,37.49
car23928,38.52,,38.52
car23933,35.01,,35.01
car23945,41.69,,41.69
car23948,47.46,,47.46
car23953,35.22,,35.22
car23954,34.76,,34.76
car23965,49.88,,49.88
car23969,48.98,,48.98
car23980,45.76,,45.76
car23985,31.18,,31.18
car2399,26.13,,26.13
car23990,30.11,,30.11
car23992,53.54,,53.54
car23998,44.5,,44.5
car24016,40.64,,40.64
car24021,29.93,,29.93
car24029,47.5,,47.5
car24034,47.64,,47.64
car24035,40.35,,40.35
car24036,44.07,,44.07
car24046,40.42,,40.42
car24057,41.5,,41.5
car24063,39.3,,39.3
car24064,35.54,,35.54
car24070,42.81,,42.81
car24071,40.33,,40.33
car24086,40.71,,40.71
car24092,35.92,,35.92
car24098,40.11,,40.11
car24100,41.02,,41.02
car24110,38.22,,38.22
car24112,42.84,,42.84
car2412,17.0,,17.0
car24124,39.07,,39.07
car24128,44.99,,44.99
car24129,47.57,,47.57
car2413,33.73,,33.73
car24137,44.0,,44.0
car24142,47.43,,47.43
car24151,42.95,,42.95
car24155,36.6,,36.6
car24162,35.27,,35.27
car24163,44.78,,44.78
car24164,44.47,,44.47
car24166,44.03,,44.03
car24171,53.57,,53.57
car24174,35.94,,35.94
car24183,47.27,,47.27
car24185,49.22,,49.22
car24190,57.52,,57.52
car24192,32.58,,32.58
car24197,43.63,,43.63
car2420,24.41,,24.41
car24217,53.2,,53.2
car24222,57.9,,57.9
car24230,40.53,,40.53
car24232,50.22,,50.22
car24235,44.75,,44.75
car24239,41.95,,41.95
car24243,41.74,,41.74
car24247,40.69,,40.69
car24257,50.7,,50.7
car24265,41.92,,41.92
car24273,41.34,,41.34
car24276,62.8,,62.8
car24285,40.25,,40.25
car24288,45.1,,45.1
car24292,48.6,,48.6
car24296,45.4,,45.4
car24301,49.43,,49.43
car24302,45.2,,45.2
car24311,52.34,,52.34
car24317,58.05,,58.05
car24319,41.23,,41.23
car24322,47.5,,47.5
car24323,34.17,,34.17
car24337,40.28,,40.28
car24338,39.89,,39.89
car24339,44.77,,44.77
car24342,46.86,,46.86
car24345,40.44,,40.44
car24348,53.24,,53.24
car24355,47.0,,47.0
car24357,50.74,,50.74
car24358,42.67,,42.67
car24361,49.94,,49.94
car24364,58.9,,58.9
car24370,51.68,,51.68
car24377,50.49,,50.49
car24382,40.7,,40.7
car24387,53.7,,53.7
car24390,50.94,,50.94
car24394,51.84,,51.84
car24399,44.1,,44.1
car2440,34.93,,34.93
car24410,56.7,,56.7
car24414,52.5,,52.5
car24417,56.72,,56.72
car2442,18.77,,18.77
car24421,45.05,,45.05
car24422,50.99,,50.99
car24427,62.6,,62.6
car24467,53.86,,53.86
car24471,58.3,,58.3
car24478,50.81,,50.81
car24484,45.92,,45.92
car24493,32.4,,32.4
car24494,114.3,,114.3
car2450,30.62,,30.62
car24513,29.65,,29.65
car24520,132.1,,132.1
car24548,44.1,,44.1
car24553,38.08,,38.08
car24556,43.04,,43.04
car24557,46.12,,46.12
car24570,51.41,,51.41
car24572,40.87,,40.87
car24579,43.96,,43.96
car24583,42.8,,42.8
car24586,42.18,,42.18
car24590,43.1,,43.1
car24596,48.03,,48.03
car24608,45.84,,45.84
car24623,35.74,,35.74
car24628,43.29,,43.29
car24632,93.1,,93.1
car24638,57.0,,57.0
car24643,41.0,,41.0
car24646,46.98,,46.98
car24655,43.19,,43.19
car24656,79.7,,79.7
car24664,46.65,,46.65
car2467,16.01,,16.01
car24671,39.43,,39.43
car24679,37.7,,37.7
car24686,53.51,,53.51
car24695,46.99,,46.99
car24708,41.87,,41.87
car24722,43.39,,43.39
car24724,43.16,,43.16
car24729,55.5,,55.5
car24730,44.21,,44.21
car24738,45.87,,45.87
car24748,44.47,,44.47
car24753,41.18,,41.18
car24762,49.11,,49.11
car24767,42.65,,42.65
car24768,46.92,,46.92
car2477,18.99,,18.99
car24779,50.46,,50.46
car24784,42.34,,42.34
car24792,41.9,,41.9
car24795,44.53,,44.53
car24809,44.39,,44.39
car2481,9.88,,9.88
car24818,49.11,,49.11
car24822,45.25,,45.25
car24825,40.55,,40.55
car24826,43.5,,43.5
car24842,46.79,,46.79
car24844,49.76,,49.76
car24849,44.62,,44.62
car24851,52.73,,52.73
car24852,42.78,,42.78
car24858,44.32,,44.32
car24859,42.88,,42.88
car24865,39.3,,39.3
car24876,37.4,,37.4
car24880,49.31,,49.31
car24885,43.6,,43.6
car24892,46.06,,46.06
car249,19.2,,19.2
car2490,15.52,,15.52
car24903,40.81,,40.81
car24907,47.23,,47.23
car24909,48.38,,48.38
car24911,49.34,,49.34
car24913,42.15,,42.15
car24930,40.84,,40.84
car24936,48.72,,48.72
car24938,48.7,,48.7
car24949,45.74,,45.74
car24954,48.92,,48.92
car24957,44.36,,44.36
car24964,53.16,,53.16
car24967,47.8,,47.8
car24975,63.84,,63.84
car24980,47.66,,47.66
car24998,51.16,,51.16
car2500,14.32,,14.32
car25005,45.76,,45.76
car25007,42.45,,42.45
car25011,47.98,,47.98
car25016,48.02,,48.02
car25026,67.51,,67.51
car25032,51.3,,51.3
car2504,14.82,,14.82
car25042,47.77,,47.77
car2505,20.91,,20.91
car25057,59.92,,59.92
car25065,45.83,,45.83
car25066,56.35,,56.35
car2507,13.22,,13.22
car25071,44.3,,44.3
car25074,50.58,,50.58
car25076,49.26,,49.26
car25084,45.93,,45.93
car25086,59.9,,59.9
car25090,52.5,,52.5
car25091,46.25,,46.25
car25098,56.95,,56.95
car25106,47.72,,47.72
car25110,45.97,,45.97
car2512,17.02,,17.02
car25123,54.5,,54.5
car25126,49.3,,49.3
car25127,52.26,,52.26
car25130,52.74,,52.74
car25134,47.95,,47.95
car25137,52.01,,52.01
car25138,47.16,,47.16
car25140,49.24,,49.24
car25146,49.68,,49.68
car25154,51.25,,51.25
car25155,52.57,,52.57
car25163,47.81,,47.81
car25164,51.9,,51.9
car25165,47.6,,47.6
car25173,53.65,,53.65
car25175,43.01,,43.01
car25176,53.2,,53.2
car25183,48.32,,48.32
car25194,49.76,,49.76
car25195,46.85,,46.85
car25204,53.51,,53.51
car25209,61.32,,61.32
car25217,56.19,,56.19
car25218,57.81,,57.81
car25219,57.0,,57.0
car25228,56.4,,56.4
car2523,15.53,,15.53
car25233,48.25,,48.25
car25237,51.19,,51.19
car25240,59.05,,59.05
car25242,46.6,,46.6
car25248,52.4,,52.4
car2537,10.89,,10.89
car2547,11.42,,11.42
car255,15.65,,15.65
car2557,12.14,,12.14
car2567,13.36,,13.36
car2576,15.77,,15.77
car2578,16.83,,16.83
car2590,23.37,,23.37
car2591,18.65,,18.65
car2596,22.58,,22.58
car2601,9.9,,9.9
car2613,23.26,,23.26
car2617,15.89,,15.89
car2620,23.28,,23.28
car2621,15.0,,15.0
car2627,20.77,,20.77
car2630,14.83,,14.83
car2633,21.9,,21.9
car2643,18.5,,18.5
car2649,15.41,,15.41
car2650,7.91,,7.91
car2658,15.59,,15.59
car2661,13.46,,13.46
car2666,12.35,,12.35
car2676,10.28,,10.28
car2680,12.3,,12.3
car2702,11.62,,11.62
car2705,11.66,,11.66
car2709,8.82,,8.82
car2712,6.3,,6.3
car2715,8.29,,8.29
car2728,9.33,,9.33
car2738,13.63,,13.63
car2744,18.55,,18.55
car2748,17.97,,17.97
car276,18.14,,18.14
car2766,27.53,,27.53
car2769,21.49,,21.49
car2771,18.27,,18.27
car2773,21.12,,21.12
car2775,21.53,,21.53
car2781,23.75,,23.75
car2783,20.76,,20.76
car2790,22.05,,22.05
car2796,26.94,,26.94
car2799,26.56,,26.56
car280,20.2,,20.2
car2807,28.79,,28.79
car2813,29.49,,29.49
car2814,23.26,,23.26
car2820,29.17,,29.17
car2824,29.1,,29.1
car2825,23.72,,23.72
car2830,30.98,,30.98
car2834,26.19,,26.19
car2837,35.73,,35.73
car2845,34.18,,34.18
car2848,33.71,,33.71
car2851,37.8,,37.8
car2852,33.8,,33.8
car2854,43.69,,43.69
car2862,31.16,,31.16
car2866,32.55,,32.55
car287,32.46,,32.46
car2870,34.96,,34.96
car2872,35.68,,35.68
car2875,26.91,,26.91
car2880,37.83,,37.83
car2888,36.65,,36.65
car289,19.09,14.2,18.93
car2891,36.45,,36.45
car2894,29.44,,29.44
car2901,37.12,,37.12
car291,16.45,,16.45
car2910,26.13,,26.13
car2911,35.1,,35.1
car2914,29.63,,29.63
car2920,22.34,,22.34
car2921,35.67,,35.67
car2922,37.7,,37.7
car2925,20.33,,20.33
car2929,28.18,,28.18
car2930,36.09,,36.09
car2932,23.68,,23.68
car2933,35.7,,35.7
car294,19.06,,19.06
car2949,23.82,,23.82
car2952,27.27,,27.27
car2953,41.17,,41.17
car296,16.65,,16.65
car2962,29.18,,29.18
car2969,29.36,,29.36
car2977,32.93,,32.93
car2982,35.69,,35.69
car299,19.97,,19.97
car2995,26.18,,26.18
car2996,32.1,,32.1
car3,25.15,,25.15
car3005,27.34,,27.34
car3007,28.45,,28.45
car301,10.52,,10.52
car3012,33.8,,33.8
car3016,14.64,,14.64
car3017,24.58,,24.58
car304,22.58,,22.58
car306,9.83,3.3,9.73
car3061,30.4,,30.4
car3069,26.38,,26.38
car3082,29.3,,29.3
car3083,23.38,28.65,23.79
car3087,24.69,,24.69
car3092,27.4,,27.4
car3093,22.38,,22.38
car3097,12.29,,12.29
car3098,11.78,,11.78
car3106,21.3,,21.3
car3108,30.0,,30.0
car3113,0.3,,0.3
car3117,19.09,,19.09
car3120,29.85,,29.85
car3121,26.45,,26.45
car3127,25.66,,25.66
car314,14.27,,14.27
car3141,30.11,,30.11
car3148,26.63,,26.63
car3149,23.99,,23.99
car3157,34.33,,34.33
car3159,24.13,,24.13
car3165,14.11,,14.11
car3172,29.3,,29.3
car3174,13.6,,13.6
car3177,24.71,,24.71
car3181,29.77,,29.77
car3194,36.34,,36.34
car3196,9.0,,9.0
car3205,34.83,,34.83
car3212,23.83,,23.83
car3215,20.65,,20.65
car3219,34.69,,34.69
car323,5.93,,5.93
car3231,25.67,,25.67
car3241,27.02,,27.02
car3243,18.88,,18.88
car3245,22.17,,22.17
car3248,29.48,,29.48
car3249,25.18,,25.18
car3258,28.22,,28.22
car3262,27.46,,27.46
car3272,28.82,,28.82
car328,14.36,,14.36
car3280,22.99,,22.99
car3285,28.03,,28.03
car3293,22.21,,22.21
car3296,28.85,,28.85
car3303,31.27,,31.27
car3309,25.28,,25.28
car3315,29.88,,29.88
car3317,26.37,,26.37
car3321,34.06,,34.06
car3324,26.63,,26.63
car3331,25.59,,25.59
car3355,28.85,,28.85
car3358,29.95,,29.95
car3359,22.43,,22.43
car336,1.9,,1.9
car3367,33.08,,33.08
car3377,27.56,,27.56
car3380,28.8,,28.8
car3386,28.32,,28.32
car3403,27.89,,27.89
car3408,22.15,,22.15
car3411,29.16,,29.16
car3415,32.67,,32.67
car3425,25.68,,25.68
car3426,31.06,,31.06
car3430,10.61,,10.61
car3431,15.81,,15.81
car3436,14.9,,14.9
car3439,26.36,,26.36
car3457,24.11,,24.11
car3462,26.3,,26.3
car3463,16.52,,16.52
car3472,22.26,,22.26
car3476,6.23,,6.23
car348,13.48,,13.48
car3482,15.83,,15.83
car3483,22.67,,22.67
car3485,7.36,,7.36
car3493,22.24,,22.24
car3508,22.76,8.33,20.11
car3513,21.74,1.07,18.11
car352,13.56,,13.56
car3537,1.45,,1.45
car3538,14.56,0.62,11.55
car3541,16.3,,16.3
car3544,6.96,,6.96
car3553,8.09,,8.09
car3555,10.64,,10.64
car3558,6.03,,6.03
car3575,4.81,,4.81
car3583,4.2,,4.2
car3625,18.69,,18.69
car3634,13.31,8.91,12.41
car3637,18.09,,18.09
car3639,20.53,19.95,20.25
car3641,24.06,,24.06
car3644,21.97,13.61,20.86
car3646,14.42,,14.42
car3651,15.44,,15.44
car3662,21.4,,21.4
car3672,24.08,,24.08
car3673,26.5,,26.5
car3679,23.05,,23.05
car3682,20.99,,20.99
car3686,24.03,,24.03
car369,16.45,13.54,16.17
car3692,18.49,,18.49
car3694,21.23,18.98,20.84
car3698,0.2,1.25,1.18
car370,15.6,13.51,13.6
car3701,25.35,26.3,25.66
car3707,28.26,,28.26
car3708,16.27,13.54,15.51
car3714,13.5,,13.5
car3715,20.49,36.1,22.71
car3717,20.79,,20.79
car3718,27.83,,27.83
car3719,16.83,,16.83
car3728,37.14,,37.14
car3735,28.6,,28.6
car3742,23.7,,23.7
car3756,28.3,,28.3
car376,12.27,,12.27
car3762,33.8,,33.8
car3771,17.58,,17.58
car3782,18.5,,18.5
car3789,33.33,,33.33
car3802,18.72,,18.72
car3803,30.61,,30.61
car3818,34.48,,34.48
car3822,35.43,,35.43
car3832,20.79,,20.79
car3836,32.17,,32.17
car3839,13.27,,13.27
car3842,0.8,,0.8
car3846,22.08,,22.08
car3848,33.4,,33.4
car3870,15.65,,15.65
car3874,14.47,,14.47
car3889,35.05,,35.05
car3894,27.8,,27.8
car3898,10.7,,10.7
car39,23.06,,23.06
car3905,30.6,,30.6
car3911,21.33,,21.33
car3913,29.94,,29.94
car3917,11.41,,11.41
car392,19.3,,19.3
car3922,30.31,,30.31
car3935,12.75,,12.75
car3937,14.77,,14.77
car3946,13.02,,13.02
car3957,5.86,,5.86
car3958,6.4,,6.4
car3960,12.42,,12.42
car3965,16.43,,16.43
car3968,16.39,,16.39
car3977,22.82,,22.82
car398,18.7,,18.7
car3986,38.11,,38.11
car3995,15.91,,15.91
car4,29.84,,29.84
car4021,14.24,,14.24
car4025,9.44,,9.44
car4026,11.14,12.3,11.19
car4029,13.0,,13.0
car4031,12.81,,12.81
car4035,11.33,,11.33
car4039,13.17,,13.17
car4043,12.79,,12.79
car4049,10.22,,10.22
car4051,11.72,,11.72
car4057,11.75,,11.75
car4061,19.55,,19.55
car4066,26.76,,26.76
car4075,24.96,,24.96
car4081,0.7,,0.7
car4082,15.27,,15.27
car4092,12.0,,12.0
car4098,15.8,,15.8
car411,12.5,,12.5
car4112,12.29,,12.29
car4115,6.9,,6.9
car4117,7.38,,7.38
car4120,18.55,,18.55
car4127,5.86,,5.86
car413,15.09,,15.09
car4134,11.57,,11.57
car4139,17.49,,17.49
car4147,16.86,7.94,15.22
car4149,11.78,,11.78
car4169,13.47,,13.47
car417,13.02,,13.02
car4178,14.49,,14.49
car4181,4.45,,4.45
car4188,15.03,,15.03
car4190,9.43,,9.43
car4199,15.52,,15.52
car42,31.56,,31.56
car4205,18.49,,18.49
car4228,16.95,,16.95
car4255,16.48,,16.48
car4263,10.16,,10.16
car4267,16.28,,16.28
car4290,16.39,,16.39
car4293,11.9,,11.9
car4305,16.87,,16.87
car4308,14.73,,14.73
car4318,17.1,,17.1
car4325,19.1,,19.1
car4331,0.6,,0.6
car4339,5.45,,5.45
car4341,18.0,,18.0
car4354,8.56,,8.56
car4373,21.53,,21.53
car4377,13.26,,13.26
car4379,22.53,,22.53
car4382,13.2,,13.2
car4392,28.02,,28.02
car4394,21.43,,21.43
car4396,22.21,,22.21
car4397,16.16,,16.16
car4398,28.52,,28.52
car4405,17.76,,17.76
car4413,14.27,,14.27
car4420,24.96,,24.96
car4424,17.48,,17.48
car4425,12.62,,12.62
car4444,14.68,,14.68
car4446,29.86,,29.86
car4454,20.72,,20.72
car4462,17.92,,17.92
car4470,16.06,,16.06
car4471,18.36,,18.36
car4477,23.7,,23.7
car4480,18.02,,18.02
car4484,13.84,,13.84
car4508,16.07,,16.07
car451,21.55,,21.55
car4512,11.56,,11.56
car452,16.45,,16.45
car4534,12.79,,12.79
car4543,16.49,,16.49
car4547,15.38,,15.38
car4551,21.0,,21.0
car4552,22.84,,22.84
car456,16.56,,16.56
car4562,21.25,,21.25
car4565,26.58,,26.58
car4567,19.04,,19.04
car4575,21.41,,21.41
car4578,25.35,,25.35
car4583,19.08,,19.08
car4596,1.42,,1.42
car4600,18.36,,18.36
car4601,17.37,,17.37
car4609,26.56,,26.56
car4613,11.37,,11.37
car4614,21.24,,21.24
car4616,17.32,,17.32
car4618,18.11,,18.11
car462,28.72,21.64,26.52
car4627,30.35,,30.35
car4631,16.4,,16.4
car4632,18.37,,18.37
car4635,27.92,,27.92
car4636,17.47,,17.47
car464,21.97,,21.97
car4668,7.8,,7.8
car4675,16.28,,16.28
car4679,15.45,,15.45
car4684,27.54,,27.54
car4696,18.78,,18.78
car4700,20.02,,20.02
car4714,16.63,,16.63
car4717,6.7,,6.7
car4719,4.83,,4.83
car4721,12.88,,12.88
car473,19.49,,19.49
car4734,30.49,,30.49
car474,14.52,,14.52
car4740,10.86,,10.86
car4751,0.8,,0.8
car4774,18.93,,18.93
car4777,14.33,,14.33
car478,20.71,,20.71
car4782,23.68,,23.68
car4786,15.81,,15.81
car4789,25.12,,25.12
car48,27.21,,27.21
car4803,19.22,,19.22
car4810,21.41,,21.41
car4816,5.78,,5.78
car4821,18.16,,18.16
car4831,27.41,,27.41
car4837,23.96,,23.96
car4844,17.7,,17.7
car4848,29.75,,29.75
car485,25.92,,25.92
car4855,20.5,,20.5
car4856,24.73,,24.73
car4870,34.42,,34.42
car4874,15.97,,15.97
car4880,36.4,30.2,32.75
car4885,24.56,,24.56
car4887,24.67,,24.67
car4897,35.32,,35.32
car4906,36.4,,36.4
car4924,22.13,,22.13
car4934,19.94,,19.94
car4935,36.0,,36.0
car4940,27.57,,27.57
car4946,29.48,,29.48
car4953,19.99,,19.99
car4959,16.41,,16.41
car4971,27.71,,27.71
car4990,33.38,,33.38
car4993,20.66,,20.66
car5,29.6,,29.6
car5010,35.9,,35.9
car5012,35.93,,35.93
car5014,20.06,,20.06
car5026,25.32,,25.32
car5028,27.91,,27.91
car5031,32.03,,32.03
car5036,37.3,,37.3
car5040,19.67,,19.67
car5041,25.89,,25.89
car5043,33.1,,33.1
car5050,29.81,,29.81
car5061,17.24,,17.24
car5065,29.56,,29.56
car5068,15.39,,15.39
car5075,15.29,,15.29
car5092,30.2,,30.2
car5103,14.82,,14.82
car5106,15.82,,15.82
car5118,30.14,,30.14
car5122,32.19,,32.19
car5140,28.1,,28.1
car5141,12.36,,12.36
car515,26.19,,26.19
car5153,29.7,,29.7
car5161,17.17,,17.17
car5167,15.2,,15.2
car5168,10.36,,10.36
car5170,13.88,,13.88
car5182,26.49,,26.49
car5188,51.48,,51.48
car5193,26.73,,26.73
car5195,27.02,,27.02
car5196,16.39,,16.39
car5207,9.61,,9.61
car5213,16.11,,16.11
car5220,14.68,,14.68
car5227,26.26,,26.26
car523,27.39,,27.39
car5243,24.89,,24.89
car5266,21.02,,21.02
car5268,13.5,,13.5
car528,29.58,,29.58
car5288,18.85,,18.85
car5289,22.87,,22.87
car529,26.47,,26.47
car530,29.18,,29.18
car5300,20.36,,20.36
car5311,13.38,,13.38
car532,29.54,,29.54
car5321,20.71,,20.71
car5323,20.59,,20.59
car5326,14.02,,14.02
car5328,23.87,,23.87
car5333,7.15,,7.15
car5335,14.57,,14.57
car5338,16.93,,16.93
car5344,22.61,,22.61
car5350,23.36,,23.36
car5367,6.35,,6.35
car5372,18.08,,18.08
car5380,27.0,,27.0
car5385,20.3,,20.3
car5389,18.34,,18.34
car5393,18.98,,18.98
car5396,19.34,,19.34
car5398,23.24,,23.24
car5430,33.5,,33.5
car5434,25.53,,25.53
car5441,20.5,,20.5
car5442,19.95,,19.95
car5452,1.95,,1.95
car5456,21.64,,21.64
car5460,20.89,,20.89
car5464,23.18,,23.18
car5472,18.9,,18.9
car5478,10.69,,10.69
car5479,22.45,,22.45
car5484,19.02,,19.02
car5489,30.06,,30.06
car5490,22.0,,22.0
car5491,29.27,,29.27
car5493,22.27,,22.27
car5494,22.59,,22.59
car5496,17.7,,17.7
car5510,34.59,,34.59
car5512,23.23,,23.23
car5521,13.4,,13.4
car5523,23.84,,23.84
car5525,23.79,,23.79
car5526,22.94,,22.94
car5532,36.11,,36.11
car5537,23.08,,23.08
car5539,18.08,,18.08
car5540,36.64,,36.64
car5543,26.8,,26.8
car5544,27.25,,27.25
car5551,35.31,,35.31
car5553,29.07,,29.07
car5555,25.28,,25.28
car5556,31.62,,31.62
car5560,41.05,,41.05
car5562,28.85,,28.85
car5568,28.98,,28.98
car557,31.18,,31.18
car5575,30.19,,30.19
car5578,32.71,,32.71
car5582,26.7,,26.7
car5587,28.99,,28.99
car5590,32.4,,32.4
car5594,33.52,,33.52
car5598,16.06,,16.06
car560,34.61,,34.61
car5601,30.62,,30.62
car5602,28.35,,28.35
car5603,34.55,,34.55
car5612,30.0,,30.0
car5619,30.24,,30.24
car5620,27.27,,27.27
car5623,23.31,,23.31
car5624,25.65,,25.65
car5625,30.08,,30.08
car563,17.16,,17.16
car5630,22.94,,22.94
car5634,26.86,,26.86
car5638,21.31,,21.31
car5656,29.62,,29.62
car5663,19.0,,19.0
car5665,21.27,,21.27
car5671,18.06,,18.06
car5678,25.39,,25.39
car5680,16.87,,16.87
car5686,28.97,,28.97
car5687,19.03,,19.03
car5696,27.8,,27.8
car57,19.65,,19.65
car5709,23.74,,23.74
car5712,33.61,,33.61
car5717,24.44,,24.44
car5733,30.33,,30.33
car5738,17.48,,17.48
car5751,23.68,,23.68
car576,28.27,,28.27
car5773,6.84,,6.84
car5781,19.21,,19.21
car5782,24.26,,24.26
car5783,31.53,,31.53
car5788,11.24,,11.24
car58,24.96,,24.96
car5817,23.31,,23.31
car5819,16.25,,16.25
car5820,17.4,,17.4
