车辆ID,左车道速度,右车道速度,总平均速度
bus11983,22.56,,22.56
bus11989,13.59,,13.59
bus11997,31.43,,31.43
bus12005,30.5,,30.5
bus12006,28.3,,28.3
bus12011,35.44,,35.44
bus12027,36.18,,36.18
bus1203,49.1,,49.1
bus12037,17.95,,17.95
bus1204,43.37,,43.37
bus12041,27.1,,27.1
bus12043,21.68,,21.68
bus12051,7.96,,7.96
bus12067,21.73,,21.73
bus12083,20.71,,20.71
bus12085,23.4,,23.4
bus12097,12.52,,12.52
bus121,34.56,,34.56
bus12101,22.0,,22.0
bus12104,24.6,,24.6
bus12111,1.7,,1.7
bus12116,0.1,,0.1
bus12117,15.04,,15.04
bus12128,17.63,,17.63
bus12131,25.24,,25.24
bus12155,14.3,,14.3
bus1216,38.36,,38.36
bus12163,21.5,,21.5
bus12170,19.36,,19.36
bus12173,22.52,,22.52
bus1218,39.67,,39.67
bus12183,24.45,,24.45
bus12184,21.6,,21.6
bus1220,44.46,,44.46
bus12203,25.0,,25.0
bus12208,27.65,,27.65
bus12209,23.55,,23.55
bus12215,25.76,,25.76
bus12223,28.8,,28.8
bus12226,31.5,,31.5
bus1223,39.67,,39.67
bus12234,36.56,,36.56
bus12238,35.69,,35.69
bus12248,35.94,,35.94
bus12262,26.5,,26.5
bus12264,37.4,,37.4
bus12272,26.06,,26.06
bus12275,26.67,,26.67
bus12277,30.71,,30.71
bus12279,23.4,,23.4
bus12281,31.91,,31.91
bus12289,25.53,,25.53
bus12294,26.86,,26.86
bus1230,60.28,,60.28
bus12305,30.2,,30.2
bus12308,38.8,,38.8
bus12313,39.8,,39.8
bus12323,36.6,,36.6
bus12326,33.3,,33.3
bus12330,25.45,,25.45
bus12338,32.97,,32.97
bus12339,33.6,,33.6
bus12341,39.68,,39.68
bus12365,41.31,,41.31
bus1237,43.2,,43.2
bus12380,37.0,,37.0
bus12393,20.97,,20.97
bus1241,44.22,,44.22
bus12416,41.5,,41.5
bus12418,34.53,,34.53
bus12424,43.4,,43.4
bus12426,29.62,,29.62
bus1243,54.95,,54.95
bus12430,24.03,,24.03
bus12433,35.62,,35.62
bus12436,40.55,,40.55
bus12439,24.23,,24.23
bus12442,37.9,,37.9
bus12458,19.2,,19.2
bus12461,41.0,,41.0
bus12462,30.8,,30.8
bus12473,30.12,,30.12
bus12482,42.87,,42.87
bus12483,28.66,,28.66
bus12488,25.88,,25.88
bus1249,37.35,,37.35
bus12491,21.61,,21.61
bus12497,39.16,,39.16
bus12498,39.09,,39.09
bus12501,23.62,,23.62
bus12503,42.5,,42.5
bus12509,47.4,,47.4
bus12511,42.03,,42.03
bus12514,30.19,,30.19
bus12529,31.9,,31.9
bus12532,21.33,,21.33
bus12555,31.17,,31.17
bus12558,42.55,,42.55
bus12571,27.84,,27.84
bus12578,24.01,,24.01
bus12584,31.96,,31.96
bus12594,50.0,,50.0
bus1260,48.88,,48.88
bus12600,7.01,,7.01
bus12602,49.4,,49.4
bus12607,37.5,,37.5
bus12610,39.49,,39.49
bus12615,32.5,,32.5
bus12618,23.94,,23.94
bus12621,34.4,,34.4
bus12627,35.06,,35.06
bus12640,28.95,,28.95
bus12646,40.25,,40.25
bus12651,23.32,,23.32
bus12656,31.42,,31.42
bus12657,31.62,,31.62
bus12660,27.44,,27.44
bus12664,34.63,,34.63
bus12665,29.11,,29.11
bus12678,27.66,,27.66
bus12682,9.67,,9.67
bus12691,29.5,,29.5
bus12696,26.9,,26.9
bus1270,52.8,,52.8
bus12702,28.2,,28.2
bus12718,22.05,,22.05
bus1272,34.12,,34.12
bus1274,49.7,,49.7
bus12746,8.56,,8.56
bus12753,8.77,,8.77
bus12759,23.61,,23.61
bus12773,24.66,,24.66
bus1278,49.88,,49.88
bus12784,33.63,,33.63
bus12788,24.8,,24.8
bus12790,23.42,,23.42
bus12801,10.33,,10.33
bus12817,27.6,,27.6
bus12818,22.0,,22.0
bus1283,45.8,,45.8
bus12833,24.6,,24.6
bus12835,17.71,,17.71
bus12839,20.4,,20.4
bus1284,44.45,,44.45
bus12842,23.2,,23.2
bus1285,42.93,,42.93
bus12851,24.88,,24.88
bus12856,25.3,,25.3
bus1286,43.04,,43.04
bus12861,22.04,,22.04
bus12865,76.8,,76.8
bus12875,16.76,,16.76
bus12887,20.05,,20.05
bus12899,16.92,,16.92
bus12902,26.58,,26.58
bus12904,25.0,,25.0
bus12921,28.8,,28.8
bus12923,35.4,,35.4
bus12926,26.5,,26.5
bus12934,17.6,,17.6
bus12941,16.8,,16.8
bus12969,28.52,,28.52
bus12976,17.35,,17.35
bus12997,28.61,,28.61
bus130,25.73,,25.73
bus1300,45.28,,45.28
bus13003,24.6,,24.6
bus13017,26.31,,26.31
bus13018,30.3,,30.3
bus1302,38.41,,38.41
bus13021,22.7,,22.7
bus1303,33.31,,33.31
bus13034,23.74,,23.74
bus13035,22.9,,22.9
bus1304,38.84,,38.84
bus13041,29.1,,29.1
bus13042,29.52,,29.52
bus13059,21.95,,21.95
bus13069,28.5,,28.5
bus1308,33.73,,33.73
bus13082,28.7,,28.7
bus13091,30.3,,30.3
bus13097,27.0,,27.0
bus13106,28.74,,28.74
bus1311,35.1,,35.1
bus13117,17.3,,17.3
bus13119,30.93,,30.93
bus13121,19.6,,19.6
bus13123,32.31,,32.31
bus13128,28.1,,28.1
bus13135,27.25,,27.25
bus13138,26.06,,26.06
bus13140,28.49,,28.49
bus13141,25.51,,25.51
bus13144,33.35,,33.35
bus13148,24.58,,24.58
bus13156,28.3,,28.3
bus13161,28.4,,28.4
bus13162,26.52,,26.52
bus13165,32.0,,32.0
bus13171,37.64,,37.64
bus13179,45.76,,45.76
bus13182,32.8,,32.8
bus13193,24.5,,24.5
bus13210,22.5,,22.5
bus13211,37.1,,37.1
bus13213,25.3,,25.3
bus13217,31.98,,31.98
bus13218,27.39,,27.39
bus1322,46.99,,46.99
bus13227,33.9,,33.9
bus13229,27.92,,27.92
bus13236,21.15,,21.15
bus13254,39.38,,39.38
bus13257,28.62,,28.62
bus13266,28.22,,28.22
bus13268,23.6,,23.6
bus13275,22.93,,22.93
bus13295,29.05,,29.05
bus133,35.43,,35.43
bus1331,41.28,,41.28
bus13315,33.5,,33.5
bus13328,33.67,,33.67
bus13335,31.18,,31.18
bus13338,30.6,,30.6
bus13347,28.46,,28.46
bus13352,33.6,,33.6
bus13369,29.83,,29.83
bus1337,40.75,,40.75
bus13373,31.74,,31.74
bus13379,37.18,,37.18
bus13382,39.9,,39.9
bus13402,15.92,,15.92
bus13412,53.15,,53.15
bus1342,36.23,,36.23
bus13425,27.26,,27.26
bus13426,27.69,,27.69
bus13431,28.85,,28.85
bus13433,26.1,,26.1
bus13442,41.0,,41.0
bus13445,29.1,,29.1
bus13455,13.39,,13.39
bus1346,36.0,,36.0
bus13469,27.02,,27.02
bus13474,20.57,,20.57
bus13484,28.2,,28.2
bus13485,29.9,,29.9
bus13491,22.6,,22.6
bus13499,29.3,,29.3
bus135,17.41,,17.41
